objectid,filename,compound,youtubeid,title,creator,date,description,subject,location,latitude,longitude,source,indentifier,type,format,language,rights,rightsstatement
coll001,test001.jpg,,,"Administration Building, University of Idaho, No. 30",Pacific Photo Co.,1910-10-14,"Photographic postcard of the University of Idaho administration building in Moscow, Idaho.",universities;buildings;campuses;picture postcards,"Moscow, Idaho",46.725562,-117.009633,"PG 9, Postcard Collection, University of Idaho Library Special Collections and Archives",pg_9_12_01bl,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll002,cpp_c0015_b0001_i001a.jp2,cpp_c0015_b0001_i001b.jp2,,Abu Farwa,"California State Polytechnic University, Pomona",1960,"Verso [1940-1972 Abu Farwa's name is practically synonymous with combination of Arabian type and performance ability. He became one of the breed's greatest series, one of the few truly top rank, elite stallions. Though Abu Farwa was bred by the Kellogg Ranch, his career was made by his long-time owner H.H. Reese. As an individual, he was outstanding, but his supreme value lay in his ability as a sire to transmit the type and character of his Crabbet heritage, especially his lovely forehead, overall balance and symmetry as well as his great trotting ability. Abu Farwa founded a veritable dynasty of champions. Among his 277 get, are such champion-siring sons as, Ga'zi, Abu Baha, Galan, Farlowa and Antezeyn Skowronek.]",horses; postcards,"Pomona, CA",34.0589° N,117.8194° W,W.K. Kellogg Arabian Horse Library Postcard and Notecard Collection,cpp_c0015_b0001_i001a,Image;StillImage,image/jpeg2000,en,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll003,cpp_c0015_b0001_i002a.jp2,cpp_c0015_b0001_i002b.jp2,,Alyf,"California State Polytechnic University, Pomona",undated,"Verso: [""Alyf"" foaled in 1938, was the winner in the Fine Harness Class All-Arabian Horse Show. Alyf was a senior stallion at California State Polytechnic College, Kellogg Unit, Pomona, California.]","Arabian horse; California State Polytechnic University, Pomona; horse; postcards; W.K. Kellogg Arabian Horse Center","Pomona, CA",34.0589° N,117.8194° W,W.K. Kellogg Arabian Horse Library Postcard and Notecard Collection,cpp_c0015_b0001_i002a,Image;StillImage,image/jpeg2000,en,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll004,cpp_c0015_b0001_i003a.jp2,cpp_c0015_b0001_i003b.jp2,,Alyf,"California State Polytechnic University, Pomona",undated,"Verso: [""Alyf"" foaled in 1938, was the winner in the Fine Harness Class All-Arabian Horse Show. Alyf was a senior stallion at California State Polytechnic College, Kellogg Unit, Pomona, California.]","Arabian horse; California State Polytechnic University, Pomona; horse; postcards; W.K. Kellogg Arabian Horse Center","Pomona, CA",34.0589° N,117.8194° W,W.K. Kellogg Arabian Horse Library Postcard and Notecard Collection,cpp_c0015_b0001_i003a,Image;StillImage,image/jpeg2000,en,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll005,cpp_c0015_b0001_i004a.jp2,cpp_c0015_b0001_i004b.jp2,,Alyf,"California State Polytechnic University, Pomona",undated,"Verso: [Alyf, foaled 1938. Head study of eighteen-year-old sire and show horse, Alyf. Alyf is still active at Kellogg Unit, Cal Poly, Pomona. Selected horses from the Kellogg Campus Stables are from time to time offered for sale and several of the finest Arabian stallions in the country stand for outside service.]","Arabian horse; California State Polytechnic University, Pomona; horse; postcards; W.K. Kellogg Arabian Horse Center","Pomona, CA",34.0589° N,117.8194° W,W.K. Kellogg Arabian Horse Library Postcard and Notecard Collection,cpp_c0015_b0001_i004a,Image;StillImage,image/jpeg2000,en,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll006,cpp_c0015_b0001_i005a.jp2,cpp_c0015_b0001_i005b.jp2,,Antez,"California State Polytechnic University, Pomona",undated,"Verso: [Alyf, foaled 1938. Head study of eighteen-year-old sire and show horse, Alyf. Alyf is still active at Kellogg Unit, Cal Poly, Pomona. Selected horses from the Kellogg Campus Stables are from time to time offered for sale and several of the finest Arabian stallions in the country stand for outside service.]","Arabian horse; California State Polytechnic University, Pomona; horse; postcards; W.K. Kellogg Arabian Horse Center","Pomona, CA",34.0589° N,117.8194° W,W.K. Kellogg Arabian Horse Library Postcard and Notecard Collection,cpp_c0015_b0001_i005a,Image;StillImage,image/jpeg2000,en,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll007,cpp_c0015_b0001_i006a.jp2,cpp_c0015_b0001_i006b.jp2,,Antez,"California State Polytechnic University, Pomona",undated,"Verso: [1921-1944 Antez, a strikingly handsome stallion, was bred by F.E. Lewis. He was a popular early day stallion of pure Davenport breeding. Antez was exported to Poland after he attracted the attention of Polish breeders with his impressive times in a racing trial. Antez stood in Poland for three years, siring ten foals. Of the ten foals, three became successful racers and one, Haschem Bey, won the Polish Derby. Unfortunately, all of his Polish born progeny were lost in WWII. Antez returned to the U.S. and spent his last years at the H.H. Reese Ranch. He sired 53 foals in the American stud book, including some extremely influential sons such as, L.jp2, Ankar, Gezan and Sartez.]",Arabian horse; horse; postcards,"Pomona, CA",34.0589° N,117.8194° W,W.K. Kellogg Arabian Horse Library Postcard and Notecard Collection,cpp_c0015_b0001_i006a,Image;StillImage,image/jpeg2000,en,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll008,cpp_c0015_b0001_i007a.jp2,cpp_c0015_b0001_i007b.jp2,,Antez,"California State Polytechnic University, Pomona",undated,"[1921-1944 ""Antez"" a bea.jp2ul chestnut stallion with flaxen mane and tail, is one of a stable of more than 40 full blooded Arabian horses owned by the W.K. Kellogg Arabian Horse Ranch, of Pomona, California. The owner of this ranch is the well known cereal manufacturer of Battle Creek, Michigan. ""Antez"" was the Champion Arabian Stallion at the Los Angeles County Fair in 1928.]","Arabian horse; California State Polytechnic University, Pomona; horse; postcards; W.K. Kellogg Arabian Horse Center","Pomona, CA",34.0589° N,117.8194° W,W.K. Kellogg Arabian Horse Library Postcard and Notecard Collection,cpp_c0015_b0001_i007a,Image;StillImage,image/jp2,en,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll009,cpp_c0015_b0001_i008a.jp2,cpp_c0015_b0001_i008b.jp2,,Antez,"California State Polytechnic University, Pomona",undated,"[1921-1944 ""Antez"" a bea.jp2ul chestnut stallion with flaxen mane and tail, is one of a stable of more than 40 full blooded Arabian horses owned by the W.K. Kellogg Arabian Horse Ranch, of Pomona, California. The owner of this ranch is the well known cereal manufacturer of Battle Creek, Michigan. ""Antez"" was the Champion Arabian Stallion at the Los Angeles County Fair in 1928.]","Arabian horse; California State Polytechnic University, Pomona; horse; postcards; W.K. Kellogg Arabian Horse Center","Pomona, CA",34.0589° N,117.8194° W,W.K. Kellogg Arabian Horse Library Postcard and Notecard Collection,cpp_c0015_b0001_i008a,Image;StillImage,image/jp2,en,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll010,cpp_c0015_b0001_i009a.jp2,cpp_c0015_b0001_i009b.jp2,,Antez,"California State Polytechnic University, Pomona",undated,"[1921-1944 ""Antez"" a bea.jp2ul chestnut stallion with flaxen mane and tail, is one of a stable of more than 40 full blooded Arabian horses owned by the W.K. Kellogg Arabian Horse Ranch, of Pomona, California. The owner of this ranch is the well known cereal manufacturer of Battle Creek, Michigan. ""Antez"" was the Champion Arabian Stallion at the Los Angeles County Fair in 1928.]","Arabian horse; California State Polytechnic University, Pomona; horse; postcards; W.K. Kellogg Arabian Horse Center","Pomona, CA",34.0589° N,117.8194° W,W.K. Kellogg Arabian Horse Library Postcard and Notecard Collection,cpp_c0015_b0001_i009a,Image;StillImage,image/jp2,en,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
